OyFzfvMiNUc,b'[youtube] OyFzfvMiNUc: Downloading webpage\n[youtube] OyFzfvMiNUc: Downloading video info webpage\nWARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: This video is unavailable.\n'
g0mjo27W0GU,b'[youtube] g0mjo27W0GU: Downloading webpage\n[youtube] g0mjo27W0GU: Downloading video info webpage\nWARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: This video is unavailable.\n'
ZVDYqlQS96g,b'[youtube] ZVDYqlQS96g: Downloading webpage\n[youtube] ZVDYqlQS96g: Downloading video info webpage\nWARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: This video is unavailable.\n'
dUK1Pqf7Y2Y,b'[youtube] dUK1Pqf7Y2Y: Downloading webpage\n[youtube] dUK1Pqf7Y2Y: Downloading video info webpage\nWARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: This video is no longer available because the YouTube account associated with this video has been terminated.\n'
nNPNbLrhdjY,b'[youtube] nNPNbLrhdjY: Downloading webpage\n[youtube] nNPNbLrhdjY: Downloading embed webpage\n[youtube] nNPNbLrhdjY: Refetching age-gated info webpage\nWARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: Content Warning\n'
P0LlFvl0C6M,b'[youtube] P0LlFvl0C6M: Downloading webpage\n[youtube] P0LlFvl0C6M: Downloading embed webpage\n[youtube] P0LlFvl0C6M: Refetching age-gated info webpage\nWARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: Content Warning\n'
YXkP5q96kok,"b'[youtube] YXkP5q96kok: Downloading webpage\n[youtube] YXkP5q96kok: Downloading video info webpage\nERROR: This video contains content from SME, who has blocked it in your country on copyright grounds.\n'"
wT0fENdYbUU,b'[youtube] wT0fENdYbUU: Downloading webpage\n[youtube] wT0fENdYbUU: Downloading video info webpage\nWARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: This video is unavailable.\n'
RiqN8WCiyS8,b'[youtube] RiqN8WCiyS8: Downloading webpage\n[youtube] RiqN8WCiyS8: Downloading video info webpage\nWARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: This video is unavailable.\n'
5__Cn1df80s,b'[youtube] 5__Cn1df80s: Downloading webpage\n[youtube] 5__Cn1df80s: Downloading video info webpage\nWARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: This video is unavailable.\n'
br9_jkX3AQ8,b'[youtube] br9_jkX3AQ8: Downloading webpage\n[youtube] br9_jkX3AQ8: Downloading video info webpage\nWARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: This video is unavailable.\n'
vz28rBKFRHw,b'[youtube] vz28rBKFRHw: Downloading webpage\n[youtube] vz28rBKFRHw: Downloading embed webpage\n[youtube] vz28rBKFRHw: Refetching age-gated info webpage\nWARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: Content Warning\n'
zrX-N06XTNA,b'[youtube] zrX-N06XTNA: Downloading webpage\n[youtube] zrX-N06XTNA: Downloading embed webpage\n[youtube] zrX-N06XTNA: Refetching age-gated info webpage\nWARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: Content Warning\n'
QK2Ya3XRiao,b'[youtube] QK2Ya3XRiao: Downloading webpage\n[youtube] QK2Ya3XRiao: Downloading video info webpage\nWARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: This video is no longer available due to a copyright claim by DevkinandanJiMaharaj.\n'
QXL_uQHnTy0,b'[youtube] QXL_uQHnTy0: Downloading webpage\n[youtube] QXL_uQHnTy0: Downloading video info webpage\nWARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: This video is no longer available due to a copyright claim by JamaicaXtra - Keda.\n'
Rr7NRuoVZNA,b'[youtube] Rr7NRuoVZNA: Downloading webpage\n[youtube] Rr7NRuoVZNA: Downloading video info webpage\nWARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: This video is unavailable.\n'
mmHZyIycC18,b'[youtube] mmHZyIycC18: Downloading webpage\n[youtube] mmHZyIycC18: Downloading video info webpage\nWARNING: Unable to extract video title\nWARNING: unable to extract description; please report this issue on https://yt-dl.org/bug . Make sure you are using the latest version; see  https://yt-dl.org/update  on how to update. Be sure to call youtube-dl with the --verbose flag and include its complete output.\nERROR: This video is no longer available because the YouTube account associated with this video has been terminated.\n'
